pmcid,first_author,title,source,year,abstract,type
10760782,Abraham K,Benefits of a digital health technology for older nursing home residents. A de-novo cost-effectiveness model for digital health technologies to aid in the assessment of toileting and containment care needs,PLoS One,2024,"- The aim of this study was first, to introduce a comprehensive, de-novo health economic (HE) model incorporating the full range of activities involved in toileting and containment care (T&CC) for people with incontinence, capturing all the potential benefits and costs of existing and future Digital Health Technologies (DHT) aimed at improving continence care, for both residential care and home care. Second, to use this novel model to evaluate the cost-effectiveness of the DHT TENA SmartCare Identifi in the implementation of person-centred continence care (PCCC), compared with conventional continence care for Canadian nursing home residents. The de-novo HE model was designed to evaluate technologies across different care settings from the perspective of several stakeholders. Health states were based on six care need profiles with increasing need for toileting assistance, three care stages with varying degrees of toileting success, and five levels of skin health. The main outcomes were incremental costs and quality-adjusted life years. The effectiveness of the TENA SmartCare Identifi was based primarily on trial data combined with literature and expert opinion where necessary. Costs were reported in CAD 2020. After 2 years, 21% of residents in the DHT group received mainly toileting as their continence care strategy compared with 12% in the conventional care group. Conversely, with the DHT 15% of residents rely mainly on absorbent products for incontinence care, compared with 40% with conventional care. On average, residents lived for 2.34 years, during which the DHT resulted in a small gain in quality-adjusted life years of 0.015 and overall cost-savings of $1,467 per resident compared with conventional care. Most cost-savings were achieved through reduced costs for absorbent products. Since most, if not all, stakeholders gain from use of the DHT-assisted PCCC, widespread use in Canadian residential care facilities should be considered, and similar assessments for other countries encouraged.",cem
11922778,Modi B,The Budget Impact of Cangrelor in the UK for the Treatment of Out-of-Hospital Cardiac Arrest Patients Who Require Percutaneous Coronary Intervention,Clinicoecon Outcomes Res,2025,"- BACKGROUND: Cangrelor is an intravenous, reversible P2Y12 inhibitor indicated for the reduction of thrombotic cardiovascular events in patients undergoing percutaneous coronary intervention (PCI) who have not received an oral P2Y12 inhibitor prior to the PCI procedure, and in whom oral therapy with P2Y12 inhibitors is not feasible or desirable (for example, in the out-of-hospital cardiac arrest [OHCA] population). OBJECTIVE: This study aimed to estimate the affordability and budget impact, in the United Kingdom, of introducing cangrelor within the licenced OHCA population. METHODS: A budget impact model was developed to estimate the impact of introducing cangrelor to hospitals over 5 years. Efficacy (thrombotic events) and safety (bleeding events) data were based on clinical trials, cost data (2021/22 GBP), literature, NHS reference costs and British National Formulary data. Comparators were glycoprotein IIb/IIIa inhibitors and aspirin in combination with heparin, reflecting current treatments used in UK centres for the target population. Cangrelor uptake was estimated as 50% in Year 1, 75% in Year 2, and 100% in Years 3-5. The OHCA population was estimated from the British Cardiovascular Intervention Society National Audit 2021/22. RESULTS: Over 5 years, cangrelor leads to modelled cost savings of £2,709,853 (-9.84%), varying from £322,218 in Year 1 (-5.85%) to £636,150 (-11.55%) in Year 5). This is driven by approximately 6,882 hospital days being avoided over 5 years due to fewer bleeding events. CONCLUSION: Cangrelor for OHCA patients who cannot take oral P2Y12 inhibitors may lead to cost savings in the UK.",bim
11999704,Prosperini L,Cost-Minimization Analysis and Budget Impact Analysis About Subcutaneous Natalizumab in Relapsing-Remitting Multiple Sclerosis in Italy,Clinicoecon Outcomes Res,2025,"- PURPOSE: Two analyses, a cost-minimization and a budget impact, were conducted to estimate the economic and financial impact of subcutaneous (SC) vs intravenous (IV) natalizumab in terms of administration times and costs in the Italian setting from the perspective of multiple sclerosis (MS) center, patient, and society. PATIENTS AND METHODS: Cost minimization analysis (CMA) adopted a Markov model with three different states, and it is based on the results of REFINE study and its post-hoc analysis, which evaluated and demonstrated the non-inferiority of natalizumab SC vs IV formulation. The economic inputs came mainly from EASIER study, that estimated the administration time, resource consumption, and costs of natalizumab SC vs IV. A lifetime horizon was considered. Budget impact analysis (BIA) was conducted with a cost calculator approach and compared a base scenario (without SC natalizumab) with an alternative scenario (with SC natalizumab). The inputs were shared with the CMA and a 3-year time horizon was considered. A progressive increase in the number of patients treated with natalizumab SC was estimated from the 1st to the 2nd to the 3rd year after reimbursement in Italy. RESULTS: CMA estimated that savings due to the use of SC instead of IV natalizumab would be €2,824, €1,137, and €9,170 per patient from the perspectives of MS center, patient, and society, respectively, thus depicting a weak dominance (lower costs and non-inferiority efficacy). BIA estimated that the savings were approximately 3.2 million euros from the perspective of MS centers and around 10.3 million euros from the perspective of society in the first 3 years following reimbursement. CONCLUSION: Administering natalizumab subcutaneously rather than intravenously to treatment-eligible patients would result in administration time and cost savings thus determining a favorable impact for the MS center, the patient and the society.",bim
10948140,Paoli CJ,Effectiveness of Single-Tablet Combination Therapy in Improving Adherence and Persistence and the Relation to Clinical and Economic Outcomes,J Health Econ Outcomes Res,2024,"- Background: Single-tablet combination therapies (STCTs) combine multiple drugs into one formulation, making drug administration more convenient for patients. STCTs were developed to address concerns with treatment adherence and persistence, but the impact of STCT use is not fully understood across indications.Objectives: We conducted a systematic literature review (SLR) to examine STCT-associated outcomes across 4 evidence domains: clinical trials, real-world evidence (RWE), health-related quality of life (HRQoL) studies, and economic evaluations.Methods: Four SLRs were conducted across the aforementioned domains. Included studies compared STCTs as well as fixed-dose combinations ([FDCs] of non-tablet formulations) with the equivalent active compounds and doses in loose-dose combinations (LDCs). Original research articles were included; case reports, case series, and non-English-language sources were excluded. Databases searched included EconLit, Embase, and Ovid MEDLINE® ALL. Two independent reviewers assessed relevant studies and extracted data. Conflicts were resolved with a third reviewer or consensus-based discussion.Results: In all, 109 studies were identified; 27 studies were identified in more than one SLR. Treatment adherence was significantly higher in patients receiving FDCs vs LDCs in 12 of 13 RWE studies and 3 of 13 clinical trials. All 18 RWE studies reported higher persistence with FDCs. In RWE studies examining clinical outcomes (n = 17), 14 reported positive findings with FDCs, including a reduced need for add-on medication, blood pressure control, and improved hemoglobin A1C. HRQoL studies generally reported numerical improvements with STCTs or similarities between STCTs and LDCs. Economic outcomes favored STCT use. All 6 cost-effectiveness or cost-utility analyses found FDCs were less expensive and more efficacious than LDCs. Four budget impact models found that STCTs were associated with cost savings. Medical costs and healthcare resource use were generally lower with FDCs than with LDCs.Discussion: Evidence from RWE and economic studies strongly favored STCT use, while clinical trials and HRQoL studies primarily reported similarity between STCTs and LDCs. This may be due to clinical trial procedures aimed at maximizing adherence and HRQoL measures that are not designed to evaluate drug administration.Conclusions: Our findings highlight the value of STCTs for improving patient adherence, persistence, and clinical outcomes while also offering economic advantages.",slr_bim
12038200,Inshasi J,Cost-effectiveness of ofatumumab for the treatment of relapsing forms of multiple sclerosis in the United Arab Emirates,Ther Adv Neurol Disord,2025,"- BACKGROUND: Multiple sclerosis (MS) is an autoimmune disease of the central nervous system, associated with demyelination and inflammation. Relapsing forms of MS (RMS) encompass all patients with MS experiencing relapses. While there is currently no cure for MS, the introduction of several disease-modifying therapies (DMTs) has significantly reduced the risk of relapse and disability in patients with MS. There is a high unmet need for an easy-to-administer DMT that can be used early in the treatment pathway. OBJECTIVES: This study aimed to evaluate the cost-effectiveness of ofatumumab compared with other commonly used DMTs for the treatment of RMS from a health payer perspective in the United Arab Emirates (UAE). DESIGN: A cost-effectiveness analysis. METHODS: A Markov model, based on expanded disability status scale (EDSS) health states, was developed using the UAE payer's perspective and a 65-year time horizon. The baseline patient distribution across the EDSS states was aligned to the population of ASCLEPIOS I and II trials. The British Columbia database informed natural history transition probabilities. Treatment effects were applied by delaying disability progression and reducing the number of relapses and were sourced from a network meta-analysis. The health care resource utilization was derived from interviews with local experts, who also validated the model structure and comparators, and utility inputs from published studies. In the absence of an officially defined willingness-to-pay threshold in the UAE, it was assumed to be United Arab Emirates Dirham (AED) 369,854 per quality-adjusted life-year (QALY), which is twice the UAE gross domestic product per capita. RESULTS: Base-case results indicated that ofatumumab was dominant over ocrelizumab, dimethyl fumarate, fingolimod, and natalizumab intravenous; was more cost-effective compared with teriflunomide, fingolimod (generic), glatiramer acetate, interferons, and best supportive care; and resulted in an incremental cost-effectiveness ratio of AED 713,068 per QALY versus cladribine. Sensitivity analyses were in line with the results of the base-case analysis. CONCLUSION: From the UAE payer's perspective, ofatumumab could be a cost-effective treatment alternative for patients with RMS.",cem
12043179,Malhotra A,Cost and cost-effectiveness of pediatric home-based versus facility-based TB Preventive Treatment in Ethiopia (CHIP-TB),PLOS Glob Public Health,2025,"- Tuberculosis preventive treatment (TPT) is an essential intervention recommended for all child contacts in Ethiopia under 15 years who are at risk of tuberculosis (TB) infection. We conducted a cost and cost-effectiveness analysis of home-based versus facility-based TPT provision for child contacts in Ethiopia. As part of the CHIP TB trial, a pragmatic, cluster-randomized trial conducted at eighteen clinics in Ethiopia, clinics were randomized to either a home-based model (intervention arm), administered by community health workers, or a facility-based model (standard of care) for managing child contacts. Cost data were collected from both a health service perspective and a household perspective, capturing all costs relevant to TPT. Costs were evaluated on a per-household basis, with the primary outcome being the difference in median costs per household initiating TPT. A secondary outcome assessed the cost-effectiveness as the incremental cost per additional child contact starting TPT. Probabilistic sensitivity analyses (PSA) were conducted to examine the robustness of findings. At an average cost of US$18.92 per household managed, Home-based contact management, including TPT delivery was cost-saving compared to facility-based TPT delivery (US$27.24 per household managed) assessed based on the partial-societal perspectives, largely due to reductions in household out-of-pocket costs. The home-based strategy was both less costly and had increased TPT initiation in 61.5% of the scenarios assessed in the PSA. Home-based contact management is a cost-saving alternative for households and provides comparable initiation rates to facility-based care, making it a feasible approach to improve TB preventive treatment accessibility. Although it does not entirely replace facility-based care, a hybrid model that respects household preferences and allows flexibility in delivery could enhance TB care access for socio-economically disadvantaged households, potentially reducing health inequities. The trial was registered on clinicaltrials.gov NCT04369326 on April 30, 2020. https://clinicaltrials.gov/study/NCT04369326.",cem
11136791,Paulissen JH,Cost-effectiveness model of trastuzumab deruxtecan as second-line treatment in HER2-positive unresectable and/or metastatic breast cancer in Finland,Eur J Health Econ,2023,"- Objectives: Trastuzumab deruxtecan (T-DXd) was recently recommended by the Committee for Medicinal Products for Human Use as a treatment for adult patients with unresectable or metastatic HER2-positive breast cancer, who had received a prior anti-HER2-based regimen. In our study, we evaluated the cost-effectiveness of T-DXd compared with ado-trastuzumab emtansine (T-DM1) for this indication in Finland. Methods: A three-state partitioned survival analysis model was developed with a payer’s perspective. Time to event data from the DESTINY-Breast03 (DB-03) trial were extrapolated over a lifetime horizon either directly—for progression-free survival and time to treatment discontinuation—or using an alternative approach utilizing long-term T-DM1 survival data and DB-03 data—for overall survival. Discount rates of 3% were applied for costs and effects. Inputs were sourced from the Medicinal Products Database from Kela, Helsinki University Hospital service price list, Finnish Medicines Agency assessments, clinical experts, and DB-03. Sensitivity analyses were performed to characterize and demonstrate parameter uncertainties in the model. Results: Total quality-adjusted life years (QALYs) and life years (LYs) gained for T-DXd compared with T-DM1 were 1.93 and 2.56, respectively. Incremental costs for T-DXd compared with T-DM1 were €106,800, resulting in an ICER of €55,360 per QALY gained and an ICER of €41,775 per LY gained. One-way sensitivity analysis showed the hazard ratio of T-DXd vs T-DM1 for OS was the most influential parameter. The probabilistic sensitivity analysis showed similar results to the base case. Conclusions: T-DXd is cost-effective based on surrogate WTP thresholds of €72,000 and €139,000 per QALY. Supplementary Information: The online version contains supplementary material available at 10.1007/s10198-023-01617-3.",cem
9724412,Putri S,Supporting dialysis policy for end stage renal disease (ESRD) in Indonesia: an updated cost-effectiveness model,BMC Res Notes,2022,"- Objective: Continuous ambulatory peritoneal dialysis (CAPD) and hemodialysis (HD) are main modalities for end stage renal disease (ESRD) patients, and those have been covered by National Health Insurance (NHI) scheme since 2014 in Indonesia. This study aims to update the cost-effectiveness model of CAPD versus HD in Indonesia setting. Results: Compared to HD, CAPD provides good value for money among ESRD patients in Indonesia. Using societal perspective, the total costs were IDR 1,348,612,118 (USD 95,504) and IDR 1,368,447,750 (USD 96,908), for CAPD and HD, respectively. The QALY was slightly different between two modalities, 4.79 for CAPD versus 4.22 for HD. The incremental cost-effectiveness ratio (ICER) yields savings of IDR 34,723,527/QALY (USD 2460). Supplementary Information: The online version contains supplementary material available at 10.1186/s13104-022-06252-4.",cem
12049305,Mahumud RA,ASO Author Reflections: A Cost-Effectiveness Decision About Groin Lymphadenectomy: Reflections from the EAGLE FM Randomized Trial,Ann Surg Oncol,2025,,cem
12045074,Nilsson K,Cost-effectiveness analysis of transcatheter aortic valve implantation versus surgical aortic valve replacement in patients with severe aortic stenosis at low risk of surgical mortality in Sweden,Ups J Med Sci,2025,"- BACKGROUND: Transcatheter aortic valve implantation (TAVI) has shown similar or improved clinical outcomes compared with surgical aortic valve replacement (SAVR) in patients with symptomatic severe aortic stenosis at low risk for surgical mortality. This cost-utility analysis compared TAVI with SAPIEN 3 versus SAVR in symptomatic severe aortic stenosis patients at low risk of surgical mortality from the perspective of the Swedish healthcare system. METHODS: A published, two-stage, Markov-based cost-utility model that captured clinical outcomes from the Swedish Web-system for Enhancement and Development of Evidence-based care in Heart disease Evaluated according to Recommended Therapies (SWEDEHEART) registry (2018-2020) was adapted from the perspective of the Swedish healthcare system using local general population mortality, utility and costs data. The model had a lifetime horizon. Model outputs included changes in direct healthcare costs and health-related quality of life from using TAVI as compared with SAVR. RESULTS: TAVI with SAPIEN 3 resulted in lifetime costs per patient of 484,142 SEK Swedish krona (SEK) and lifetime quality-adjusted life years (QALYs) per patient of 7.16, whilst SAVR resulted in lifetime costs and QALYs per patient of 457,625 SEK and 6.81 QALYs, respectively. Compared with SAVR, TAVI offered an incremental improvement of +0.35 QALY per patient at an increased cost of +26,517 SEK per patient over a lifetime horizon, resulting in an incremental cost-effectiveness ratio of 76,532 SEK per QALY gained. CONCLUSION: TAVI with SAPIEN 3 is a cost-effective option versus SAVR for patients with symptomatic severe aortic stenosis at low risk for surgical mortality treated in the Swedish healthcare setting. These findings may inform policy decisions in Sweden for the management of this patient group.",cem
