pubmed_id,section_choices,question,answer
10169960,Consent to participate; Conclusion; Model Input Data; Methods; Sensitivity Analysis,"Which section does this sentence belong to: ""We populated the BIA model with estimates of the actual and expected Italian general adult population on January 1st of each year from the National Italian Institute of Statistics (ISTAT) (Table""",Model Input Data
10169960,Key Points for Decision Makers; Budget Impact Analysis; Conclusion; Introduction; Results,"Which section does this sentence belong to: ""The availability of secukinumab for the treatment of PsO and PsA was expected to reduce the total budget by 1.0% and 3.4% over the cumulative period, with total incremental budget impacts of − €7.80 million and − €34.88 million, respectively.""",Budget Impact Analysis
10635953,Proposed Future Developments; Validation Approach; CEM Outcomes; Discussion; Development of the CEM Framework,"Which section does this sentence belong to: ""The CEM framework permits scenario analyses to be conducted to assess the impact of changes on the results in the selection of underlying CEM parameters or values, including patient subpopulations, time horizon, discount rates, natural history of disease, and treatment efficacy assumptions.""",CEM Outcomes
10635953,Health-Related Quality of Life (Utilities); Availability of data and material; Treatment Effect; Validation Approach; Treatment Delay and Discontinuations,"Which section does this sentence belong to: ""However, patient characteristics are not currently included as direct predictors of treatment effect, due to lack of appropriate data; (3) changed disease progression could impact risks indirectly (e.g., NASH status is a predictor of CVD risks; risk ratios are assumed relative to no-NASH population).""",Treatment Effect
11884430,Sensitivity Analyses; Markov Cohort Model; BACKGROUND; Cost-Effectiveness Analysis; Cost Inputs,"Which section does this sentence belong to: ""The comparison between faricimab and other anti-VEGFs included in the analysis during the 25-year horizon is presented in""",Cost-Effectiveness Analysis
11884430,CONCLUSION; Structure of the Markov Model (A) and Treatment Pathway between Health State Categories (B); METHODS; Cost-Effectiveness Results of Faricimab T&E vs Other Anti-VEGF Agents in Diabetic Macular Edema and Neovascular Age-Related Macular Degeneration; Budget Impact Analysis of Faricimab in Diabetic Macular Edema and Neovascular Age-Related Macular Degeneration,"Which section does this sentence belong to: ""From the Colombian Health System perspective, considering a threshold of US $5988 in 2023 (86% of gross domestic product per capita), faricimab is a cost-effective alternative for both DME and nAMD, showing dominance over other anti-VEGF agents (aflibercept, ranibizumab, and brolucizumab) by achieving better health outcomes at a lower cost.""",CONCLUSION
8079293,Data availability; Who Should Be Invited For Screening?; Step 3: Updating of Questionnaire and Evidence Dossier; Round 1; Which Diagnostic Procedures?,"Which section does this sentence belong to: ""The second question asked all participants who had indicated risk-based screening to be their preferred option which factor/s they thought risk should be based on.""",Who Should Be Invited For Screening?
8079293,Conflict of interest; Key Points; Results; Introduction/Background; How Frequently to Screen?,"Which section does this sentence belong to: ""Of those who thought that screening interval should be based on PSA level, all stated that men with a PSA level <3 ng/mL could be screened every 2–3 years whereas men with a higher PSA should be screened annually.""",How Frequently to Screen?
10570167,Vaccine Coverage; Availability of data and material; Introduction; Conclusions; Key Points for Decision Makers,"Which section does this sentence belong to: ""Given the commercialization of new vaccines, in conjunction with the public health relevance and high annual costs of seasonal influenza, the results of such cost analyses are highly relevant to policy makers.""",Introduction
10570167,Force of Infection; Introduction; Model Validation and Sensitivity Analyses; Availability of data and material; Conclusions,"Which section does this sentence belong to: ""Since 2017, the STIKO has recommended the exclusive use of quadrivalent influenza vaccines, which contain antigens of two A strains and two B strains and thus could achieve an improved match with circulating influenza viruses compared with trivalent vaccines, which contain only one B strain [""",Introduction
