pmcid,question,answer,
10982321,What is refractory angina characterized by? (pmcid=10982321),Refractory angina is characterized by the presence of debilitating angina symptoms due to established reversible ischemia in the presence of obstructive coronary artery disease (CAD).,
10982321,What major developments have treatments for refractory angina undergone in recent decades? (pmcid=10982321),Treatments for refractory angina have undergone major developments in recent decades.,
10982321,What does the Coronary Sinus Reducer System (CSRS) stand as for ineligible patients for revascularization with reversible ischemia? (pmcid=10982321),The Coronary Sinus Reducer System (CSRS) stands as the last line of therapy for ineligible patients for revascularization with reversible ischemia.,
10982321,What is the purpose of the report (pmcid=10982321)?,The purpose of the report is to evaluate the potential burden on the National Health Service (NHS) and measure the health effects in terms of both quantity (life years) and quality-of-life aspects related to the reducer device.,
10982321,What type of economic evaluation models were developed as part of the analysis (pmcid=10982321)?,Two different economic evaluation models were developed as part of the analysis.,
10982321,What was the purpose of developing the budget impact model in the study (pmcid=10982321)?,The purpose of developing the budget impact model in the study was to estimate the potential burden on the NHS from incremental uptake of the use of the reducer device in patients with refractory angina.,
10982321,What research was the utility cost analysis based on (pmcid=10982321)?,The utility cost analysis was based on the research of Gallone et al.,
10982321,Was a sensitivity analysis carried out to characterize the uncertainty around the parameters of the model (pmcid=10982321)?,Yes.,
10982321,What is shown to be more expensive in the first 2 years of the model in the budget impact analysis? (pmcid=10982321),The reducer device is shown to be more expensive in the first 2 years of the model in the budget impact analysis.,
10982321,What type of costs are saved in terms of resource absorption in direct healthcare costs starting from the third year (pmcid=10982321)?,"Hospitalizations, emergency department accesses, coronarography, and visits",
10982321,What do the budget impact model and cost-effectiveness model show about the reducer device in patients with refractory angina (pmcid=10982321)?,The budget impact model and cost-effectiveness model show that the reducer device has the potential to result in increased quality of life in patients with refractory angina.,
10982321,What are the cost savings achieved in the budget impact model for the reducer device in patients with refractory angina (pmcid=10982321)?,"The cost savings achieved in the budget impact model for the reducer device in patients with refractory angina are largely offset in the short term by the improved clinical outcomes achievable, leading to savings from the third year onward.",
