SLR_pmcid_tbl,single_studies,question,answer
11127739_Table_2.,Brown et al (1998); Vintzileos et al (2000); Vanara et al (2004); Pinto et al (2014); Mistry et al (2013); Chung et al (2020); Finneran et al (2019),What interventions are examined in these studies?,"Brown et al (1998): Do not perform US, Routine US in 1st trimester, US + NT in 1st trimester, US during 2nd trimester, US during 3rd trimester; Vintzileos et al (2000): US in tertiary center, US in primary- and secondary-level centers; Vanara et al (2004): Structured gestational screening program with US, No structured program; Pinto et al (2014): 4C + outflow → MFM, 4C + outflow → card, 4C → MFM, 4C → card, MFM 4C + outflow → card, NT + outflow, Fetal echocardiography; Mistry et al (2013): Usual management, Universal screening through telemedicine; Chung et al (2020): Ultrasonography, Echocardiography for ICSI only, Echocardiography for all IVF; Finneran et al (2019): Detailed US, Selective echocardiography (only in case of abnormal ultrasonography), Universal echocardiography (all cases of elevated A1c)"
11127739_Table_2.,Brown et al (1998); Vintzileos et al (2000); Vanara et al (2004); Pinto et al (2014); Mistry et al (2013); Chung et al (2020); Finneran et al (2019),What costs are reported in these studies?,"Brown et al (1998): Routine US in 1st trimester: £30,450, US + NT in 1st trimester: £30,583, US during 2nd trimester: £31,139, US during 3rd trimester: £31,198; Vintzileos et al (2000): US in tertiary center: USD $270, US in primary- and secondary-level centers: USD $270; Vanara et al (2004): Structured gestational screening program with US: €400,536,721, No structured program: €505,006,384; Pinto et al (2014): 4C + outflow → MFM: USD $169.33, 4C + outflow → card: USD $169.84, 4C → MFM: USD $170.37, 4C → card: USD $171.76, MFM 4C + outflow → card: USD $216.53, NT + outflow: USD $316.58, Fetal echocardiography: USD $513.72; Mistry et al (2013): Usual management: £12,906, Universal screening through telemedicine: £12,876; Chung et al (2020): Ultrasonography: USD $8119, Echocardiography for ICSI only: USD $8408, Echocardiography for all IVF: USD $8560; Finneran et al (2019): Detailed US: USD $195.13, Selective echocardiography: USD $340.29, Universal echocardiography: USD $577.08"
11127739_Table_2.,Brown et al (1998); Vintzileos et al (2000); Vanara et al (2004); Pinto et al (2014); Mistry et al (2013); Chung et al (2020); Finneran et al (2019),What changes in costs are observed in these studies?,"Brown et al (1998): No specific change in costs reported.; Vintzileos et al (2000): No specific change in costs reported.; Vanara et al (2004): -€104,469,663 for the structured gestational screening program with US.; Pinto et al (2014): USD $0.51 for 4C + outflow → card, USD $1.04 for 4C → MFM, USD $2.43 for 4C → card, USD $47.20 for MFM 4C + outflow → card, USD $147.25 for NT + outflow, USD $344.39 for Fetal echocardiography.; Mistry et al (2013): No specific change in costs reported.; Chung et al (2020): USD $289 for Echocardiography for ICSI only, USD $441 for Echocardiography for all IVF.; Finneran et al (2019): USD $145.16 for Selective echocardiography, USD $381.95 for Universal echocardiography."
11127739_Table_2.,Brown et al (1998); Vintzileos et al (2000); Vanara et al (2004); Pinto et al (2014); Mistry et al (2013); Chung et al (2020); Finneran et al (2019),What levels of effectiveness are reported in these studies?,"Brown et al (1998): 0.53 cases detected, 1.58 cases detected, 5.85 cases detected, 6.30 cases detected; Vintzileos et al (2000): Avoided costs: USD 367−USD459, Avoided costs: USD 109−USD201; Vanara et al (2004): 7071 detected malformations, 6386 detected malformations; Pinto et al (2014): 3.53 detected cases, 4.42 detected cases, 2.37 detected cases, 2.96 detected cases, 5.07 detected cases, 5.06 detected cases, 6.59 detected cases; Mistry et al (2013): 23.24 QALY, 23.282 QALY; Chung et al (2020): 1.74487 QALY, 1.74497 QALY, 1.74499 QALY; Finneran et al (2019): 0.007936577"
11127739_Table_2.,Brown et al (1998); Vintzileos et al (2000); Vanara et al (2004); Pinto et al (2014); Mistry et al (2013); Chung et al (2020); Finneran et al (2019),What changes in effectiveness are noted in these studies?,"Brown et al (1998): NR; Vintzileos et al (2000): NA; Vanara et al (2004): 685 avoided malformations; Pinto et al (2014): 0.9, -1.16, -0.57, 1.54, 1.53, 3.06; Mistry et al (2013): NR; Chung et al (2020): 0.0001, 0.00012; Finneran et al (2019): 0.007936577"
11127739_Table_2.,Brown et al (1998): General evaluation of congenital malformations; Vintzileos et al (2000): General evaluation of congenital malformations; Vanara et al (2004): General evaluation of congenital malformations; Pinto et al (2014): Specific evaluation of CHD; Mistry et al (2013): Specific evaluation of CHD; Chung et al (2020): Specific evaluation of CHD; Finneran et al (2019): Specific evaluation of CHD,What are the ICER or net monetary benefits calculated in these studies?,"Brown et al (1998): ICER = £57 453/case detected, ICER = £19 356/case detected, ICER = £5323/case detected, ICER = £4952/case detected; Vintzileos et al (2000): USD 97−USD189 millions, USD 69−USD161 millions; Vanara et al (2004): ICER = 56 637/detected malformation, ICER = 79 085/detected malformation; Pinto et al (2014): USD $579, Dominated, Dominated, USD $30 591, Extended dominance, USD $112 560; Mistry et al (2013): Dominant; Chung et al (2020): USD $2 890 000, US $5 692 457; Finneran et al (2019): USD $18 290, USD $28 875"
8795065_Table_3,"NICE TA 531,NICE TA 557 [41],NICE TA 600 [43],PBAC 3.01 [47],PBAC 6.01 [48],PBAC 6.04 [45],PBAC 7.09 [49],pCODR 10101 [50],PBAC 7.17 [46]",What therapeutic areas are addressed in these studies?,NICE TA 531 [42]: Untreated metastatic NSCLC with PD-L1 TPS ≥ 50%; NICE TA 557 [41]: Untreated metastatic non-squamous NSCLC; NICE TA 584 [44]: (1) Untreated metastatic non-squamous EGFR/ALK-negative NSCLC with PD-L1 TPS 1–49%; (2) metastatic non-squamous EGFR/ALK-positive NSCLC when targeted therapy is not an option or has failed; NICE TA 600 [43]: Untreated metastatic squamous NSCLC; PBAC 3.01 [47]; resubmission of PBAC 6.04 [45]: Locally advanced or metastatic squamous or non-squamous EGFR/ALK-negative NSCLC with PD-L1 TPS ≥ 50; PBAC 6.01 [48]: Metastatic non-squamous EGFR/ALK-negative NSCLC; PBAC 6.04 [45]: Locally advanced or metastatic squamous or non-squamous EGFR/ALK-negative NSCLC with PD-L1 TPS ≥ 50; PBAC 7.09 [49]: Untreated metastatic non-squamous EGFR/ALK/ROS1-negative NSCLC with ECOG status 0 or 1; PBAC 7.17 [46]; resubmission of PBAC 6.04 [45]: Locally advanced or metastatic squamous or non-squamous EGFR/ALK-negative NSCLC with PD-L1 TPS ≥ 50; pCODR 10101 [50]: Untreated metastatic EGFR/ALK-negative NSCLC with PD-L1 TPS ≥ 50%; pCODR 10153 [51]: Untreated metastatic non-squamous EGFR/ALK-negative NSCLC; SMC 1239/17 [53]: Metastatic EGFR/ALK-negative NSCLC with PD-L1 TPS ≥ 50%; SMC 2127 [54]: Metastatic non-squamous EGFR/ALK-negative NSCLC with PD-L1 TPS < 50% or non-evaluable; SMC 2187 [55]: Metastatic squamous NSCLC with PD-L1 TPS < 50% or non-evaluable; SMC 2207 [52]; resubmission of SMC 2127 [54]: Metastatic non-squamous EGFR/ALK-negative NSCLC with PD-L1 TPS < 50% or non-evaluable
8795065_Table_3,"NICE TA 531,NICE TA 557 [41],NICE TA 600 [43],PBAC 3.01 [47],PBAC 6.01 [48],PBAC 6.04 [45],PBAC 7.09 [49],pCODR 10101 [50],PBAC 7.17 [46]",Which countries are covered in these studies?,NICE TA 531 [42]: UK; NICE TA 557 [41]: UK; NICE TA 584 [44]: UK; NICE TA 600 [43]: UK; PBAC 3.01 [47]; resubmission of PBAC 6.04 [45]: Australia; PBAC 6.01 [48]: Australia; PBAC 6.04 [45]: Australia; PBAC 7.09 [49]: Australia; PBAC 7.17 [46]; resubmission of PBAC 6.04 [45]: Australia; pCODR 10101 [50]: Canada; pCODR 10153 [51]: Canada; SMC 1239/17 [53]: Scotland; SMC 2127 [54]: Scotland; SMC 2187 [55]: Scotland; SMC 2207 [52]; resubmission of SMC 2127 [54]: Scotland
8795065_Table_3,"NICE TA 531,NICE TA 557 [41],NICE TA 600 [43],PBAC 3.01 [47],PBAC 6.01 [48],PBAC 6.04 [45],PBAC 7.09 [49],pCODR 10101 [50],PBAC 7.17 [46]",What perspectives are used in these studies?,NICE TA 531 [42]: UK NHS; NICE TA 557 [41]: UK NHS; NICE TA 584 [44]: UK NHS; NICE TA 600 [43]: UK NHS; PBAC 3.01 [47]; resubmission of PBAC 6.04 [45]: Australian healthcare system; PBAC 6.01 [48]: Australian healthcare system; PBAC 6.04 [45]: Australian healthcare system; PBAC 7.09 [49]: Australian healthcare system; PBAC 7.17 [46]; resubmission of PBAC 6.04 [45]: Australian healthcare system; pCODR 10101 [50]: Canadian healthcare system; pCODR 10153 [51]: Canadian healthcare system; SMC 1239/17 [53]: Scotland payer; SMC 2127 [54]: Scotland payer; SMC 2187 [55]: Scotland payer; SMC 2207 [52]; resubmission of SMC 2127 [54]: Scotland payer
8795065_Table_3,"NICE TA 531,NICE TA 557 [41],NICE TA 600 [43],PBAC 3.01 [47],PBAC 6.01 [48],PBAC 6.04 [45],PBAC 7.09 [49],pCODR 10101 [50],PBAC 7.17 [46]",What are the base-case populations considered in these studies?,NICE TA 531 [42]: Untreated metastatic NSCLC with PD-L1 TPS ≥ 50%; NICE TA 557 [41]: Untreated metastatic non-squamous NSCLC; NICE TA 584 [44]: (1) Untreated metastatic non-squamous EGFR/ALK-negative NSCLC with PD-L1 TPS 1–49%; (2) metastatic non-squamous EGFR/ALK-positive NSCLC when targeted therapy is not an option or has failed; NICE TA 600 [43]: Untreated metastatic squamous NSCLC; PBAC 3.01 [47]; resubmission of PBAC 6.04 [45]: Locally advanced or metastatic squamous or non-squamous EGFR/ALK-negative NSCLC with PD-L1 TPS ≥ 50; PBAC 6.01 [48]: Metastatic non-squamous EGFR/ALK-negative NSCLC; PBAC 6.04 [45]: Locally advanced or metastatic squamous or non-squamous EGFR/ALK-negative NSCLC with PD-L1 TPS ≥ 50; PBAC 7.09 [49]: Untreated metastatic non-squamous EGFR/ALK/ROS1-negative NSCLC with ECOG status 0 or 1; PBAC 7.17 [46]; resubmission of PBAC 6.04 [45]: Locally advanced or metastatic squamous or non-squamous EGFR/ALK-negative NSCLC with PD-L1 TPS ≥ 50; pCODR 10101 [50]: Untreated metastatic EGFR/ALK-negative NSCLC with PD-L1 TPS ≥ 50%; pCODR 10153 [51]: Untreated metastatic non-squamous EGFR/ALK-negative NSCLC; SMC 1239/17 [53]: Metastatic EGFR/ALK-negative NSCLC with PD-L1 TPS ≥ 50%; SMC 2127 [54]: Metastatic non-squamous EGFR/ALK-negative NSCLC with PD-L1 TPS < 50% or non-evaluable; SMC 2187 [55]: Metastatic squamous NSCLC with PD-L1 TPS < 50% or non-evaluable; SMC 2207 [52]; resubmission of SMC 2127 [54]: Metastatic non-squamous EGFR/ALK-negative NSCLC with PD-L1 TPS < 50% or non-evaluable
