pmcid,first_author,title,source,year,abstract,type
6149200,Doble B,Health-related quality of life impact of minor and major bleeding events during dual antiplatelet therapy: a systematic literature review and patient preference elicitation study,Health Qual Life Outcomes,2018,"- Background: Dual antiplatelet therapy (DAPT) is the recommended preventative treatment for secondary ischaemic events, but increases the risk of bleeding, potentially affecting patients’ health-related quality-of-life (HRQoL). Varied utility decrements have been used in cost-effectiveness models assessing alternative DAPT regimens, but it is unclear which of these decrements are most appropriate. Therefore, we reviewed existing sources of utility decrements for bleeds in patients receiving DAPT and undertook primary research to estimate utility decrements through a patient elicitation exercise using vignettes and the EuroQol EQ-5D. Methods: MEDLINE, PubMed and references of included studies were searched. Primary research and decision analytic modelling studies reporting utility decrements for bleeds related to DAPT were considered. For the primary research study, 21 participants completed an elicitation exercise involving vignettes describing minor and major bleeds and the EQ-5D-3 L and EQ-5D-5 L. Utility decrements were derived using linear regression and compared to existing estimates. Results: Four hundred forty-two citations were screened, of which 12 studies were included for review. Reported utility decrements ranged from − 0.002 to − 0.03 for minor bleeds and − 0.007 to − 0.05 for major bleeds. Data sources used to estimate the decrements, however, lacked relevance to our population group and few studies adequately reported details of their measurement and valuation approaches. No study completely adhered to reimbursement agency requirements in the UK according to the National Institute for Health and Care Excellence reference case. Our primary research elicited utility decrements overlapped existing estimates, ranging from − 0.000848 to − 0.00828 for minor bleeds and − 0.0187 to − 0.0621 for major bleeds. However, the magnitude of difference depended on the instrument, estimation method and valuation approach applied. Conclusions: Several sources of utility decrements for bleeds are available for use in cost-effectiveness analyses, but are of limited quality and relevance. Our elicitation exercise has derived utility decrements from a relevant patient population, based on standardised definitions of minor and major bleeding events, using a validated HRQoL instrument and have been valued using general population tariffs. We suggest that our utility decrements be used in future cost-effectiveness analyses of DAPT. Electronic supplementary material: The online version of this article (10.1186/s12955-018-1019-3) contains supplementary material, which is available to authorized users.",slr_cem
6149200,Doble B,Health-related quality of life impact of minor and major bleeding events during dual antiplatelet therapy: a systematic literature review and patient preference elicitation study,Health Qual Life Outcomes,2018,"- Background: Dual antiplatelet therapy (DAPT) is the recommended preventative treatment for secondary ischaemic events, but increases the risk of bleeding, potentially affecting patients’ health-related quality-of-life (HRQoL). Varied utility decrements have been used in cost-effectiveness models assessing alternative DAPT regimens, but it is unclear which of these decrements are most appropriate. Therefore, we reviewed existing sources of utility decrements for bleeds in patients receiving DAPT and undertook primary research to estimate utility decrements through a patient elicitation exercise using vignettes and the EuroQol EQ-5D. Methods: MEDLINE, PubMed and references of included studies were searched. Primary research and decision analytic modelling studies reporting utility decrements for bleeds related to DAPT were considered. For the primary research study, 21 participants completed an elicitation exercise involving vignettes describing minor and major bleeds and the EQ-5D-3 L and EQ-5D-5 L. Utility decrements were derived using linear regression and compared to existing estimates. Results: Four hundred forty-two citations were screened, of which 12 studies were included for review. Reported utility decrements ranged from − 0.002 to − 0.03 for minor bleeds and − 0.007 to − 0.05 for major bleeds. Data sources used to estimate the decrements, however, lacked relevance to our population group and few studies adequately reported details of their measurement and valuation approaches. No study completely adhered to reimbursement agency requirements in the UK according to the National Institute for Health and Care Excellence reference case. Our primary research elicited utility decrements overlapped existing estimates, ranging from − 0.000848 to − 0.00828 for minor bleeds and − 0.0187 to − 0.0621 for major bleeds. However, the magnitude of difference depended on the instrument, estimation method and valuation approach applied. Conclusions: Several sources of utility decrements for bleeds are available for use in cost-effectiveness analyses, but are of limited quality and relevance. Our elicitation exercise has derived utility decrements from a relevant patient population, based on standardised definitions of minor and major bleeding events, using a validated HRQoL instrument and have been valued using general population tariffs. We suggest that our utility decrements be used in future cost-effectiveness analyses of DAPT. Electronic supplementary material: The online version of this article (10.1186/s12955-018-1019-3) contains supplementary material, which is available to authorized users.",slr_cem
6149200,Doble B,Health-related quality of life impact of minor and major bleeding events during dual antiplatelet therapy: a systematic literature review and patient preference elicitation study,Health Qual Life Outcomes,2018,"- Background: Dual antiplatelet therapy (DAPT) is the recommended preventative treatment for secondary ischaemic events, but increases the risk of bleeding, potentially affecting patients’ health-related quality-of-life (HRQoL). Varied utility decrements have been used in cost-effectiveness models assessing alternative DAPT regimens, but it is unclear which of these decrements are most appropriate. Therefore, we reviewed existing sources of utility decrements for bleeds in patients receiving DAPT and undertook primary research to estimate utility decrements through a patient elicitation exercise using vignettes and the EuroQol EQ-5D. Methods: MEDLINE, PubMed and references of included studies were searched. Primary research and decision analytic modelling studies reporting utility decrements for bleeds related to DAPT were considered. For the primary research study, 21 participants completed an elicitation exercise involving vignettes describing minor and major bleeds and the EQ-5D-3 L and EQ-5D-5 L. Utility decrements were derived using linear regression and compared to existing estimates. Results: Four hundred forty-two citations were screened, of which 12 studies were included for review. Reported utility decrements ranged from − 0.002 to − 0.03 for minor bleeds and − 0.007 to − 0.05 for major bleeds. Data sources used to estimate the decrements, however, lacked relevance to our population group and few studies adequately reported details of their measurement and valuation approaches. No study completely adhered to reimbursement agency requirements in the UK according to the National Institute for Health and Care Excellence reference case. Our primary research elicited utility decrements overlapped existing estimates, ranging from − 0.000848 to − 0.00828 for minor bleeds and − 0.0187 to − 0.0621 for major bleeds. However, the magnitude of difference depended on the instrument, estimation method and valuation approach applied. Conclusions: Several sources of utility decrements for bleeds are available for use in cost-effectiveness analyses, but are of limited quality and relevance. Our elicitation exercise has derived utility decrements from a relevant patient population, based on standardised definitions of minor and major bleeding events, using a validated HRQoL instrument and have been valued using general population tariffs. We suggest that our utility decrements be used in future cost-effectiveness analyses of DAPT. Electronic supplementary material: The online version of this article (10.1186/s12955-018-1019-3) contains supplementary material, which is available to authorized users.",slr_cem
6149200,Doble B,Health-related quality of life impact of minor and major bleeding events during dual antiplatelet therapy: a systematic literature review and patient preference elicitation study,Health Qual Life Outcomes,2018,"- Background: Dual antiplatelet therapy (DAPT) is the recommended preventative treatment for secondary ischaemic events, but increases the risk of bleeding, potentially affecting patients’ health-related quality-of-life (HRQoL). Varied utility decrements have been used in cost-effectiveness models assessing alternative DAPT regimens, but it is unclear which of these decrements are most appropriate. Therefore, we reviewed existing sources of utility decrements for bleeds in patients receiving DAPT and undertook primary research to estimate utility decrements through a patient elicitation exercise using vignettes and the EuroQol EQ-5D. Methods: MEDLINE, PubMed and references of included studies were searched. Primary research and decision analytic modelling studies reporting utility decrements for bleeds related to DAPT were considered. For the primary research study, 21 participants completed an elicitation exercise involving vignettes describing minor and major bleeds and the EQ-5D-3 L and EQ-5D-5 L. Utility decrements were derived using linear regression and compared to existing estimates. Results: Four hundred forty-two citations were screened, of which 12 studies were included for review. Reported utility decrements ranged from − 0.002 to − 0.03 for minor bleeds and − 0.007 to − 0.05 for major bleeds. Data sources used to estimate the decrements, however, lacked relevance to our population group and few studies adequately reported details of their measurement and valuation approaches. No study completely adhered to reimbursement agency requirements in the UK according to the National Institute for Health and Care Excellence reference case. Our primary research elicited utility decrements overlapped existing estimates, ranging from − 0.000848 to − 0.00828 for minor bleeds and − 0.0187 to − 0.0621 for major bleeds. However, the magnitude of difference depended on the instrument, estimation method and valuation approach applied. Conclusions: Several sources of utility decrements for bleeds are available for use in cost-effectiveness analyses, but are of limited quality and relevance. Our elicitation exercise has derived utility decrements from a relevant patient population, based on standardised definitions of minor and major bleeding events, using a validated HRQoL instrument and have been valued using general population tariffs. We suggest that our utility decrements be used in future cost-effectiveness analyses of DAPT. Electronic supplementary material: The online version of this article (10.1186/s12955-018-1019-3) contains supplementary material, which is available to authorized users.",slr_cem
10333156,Lin YS,A Simple Cost-Effectiveness Model of Screening: An Open-Source Teaching and Research Tool Coded in R,Pharmacoecon Open,2023,"- Applied cost-effectiveness analysis models are an important tool for assessing health and economic effects of healthcare interventions but are not best suited for illustrating methods. Our objective is to provide a simple, open-source model for the simulation of disease-screening cost-effectiveness for teaching and research purposes. We introduce our model and provide an initial application to examine changes to the efficiency frontier as input parameters vary and to demonstrate face validity. We described a vectorised, discrete-event simulation of screening in R with an Excel interface to define parameters and inspect principal results. An R Shiny app permits dynamic interpretation of simulation outputs. An example with 8161 screening strategies illustrates the cost and effectiveness of varying the disease sojourn time, treatment effectiveness, and test performance characteristics and costs on screening policies. Many of our findings are intuitive and straightforward, such as a reduction in screening costs leading to decreased overall costs and improved cost-effectiveness. Others are less obvious and depend on whether we consider gross outcomes or those net to no screening. For instance, enhanced treatment of symptomatic disease increases gross effectiveness, but reduces the net effectiveness and cost-effectiveness of screening. A lengthening of the preclinical sojourn time has ambiguous effects relative to no screening, as cost-effectiveness improves for some strategies but deteriorates for others. Our simple model offers an accessible platform for methods research and teaching. We hope it will serve as a public good and promote an intuitive understanding of the cost-effectiveness of screening.",cem
10455716,Sangeetha G,A Cost-effectiveness Model Comparing Urinary Biomarkers with Diuretic Renogram in Diagnosing Ureteropelvic Junction Obstruction in Children,J Indian Assoc Pediatr Surg,2023,"- Background and Aims:: In this cost-effectiveness model, we compared the cost-effectiveness of commonly used urinary biomarkers with conventional diuretic renogram (DR) in diagnosing ureteropelvic junction obstruction (UPJO). We hypothesized that urinary biomarkers are as effective as DR. Methods:: We used incremental cost-effectiveness ratio (ICER) as a tool for our cost-effectiveness analysis model. The cost of biomarker assay and renogram were sourced from the same center while the accuracy data of DR and urinary biomarkers from the relevant pubications. Results:: As the accuracy of individual biomarker increased, the ICER also got better. As a panel of biomarker was introduced, the ICER went to the negative range suggesting cost saving as well. ICER of most urine biomarkers is currently less expensive and less effective. When a biomarker panel was applied ICER became more expensive and effective. With higher samples, test running cost is likely to go down in future and thus biomarkers are likely become less expensive and more effective. Conclusions:: Individual urine biomarkers are currently less expensive and less effective compared to DR in predicting UPJO. In future, biomarker panel is likely to be more cost-effective and reduce the need for invasive renogram thus reducing the radiation exposure.",cem
10635953,Gal P,De Novo Cost-Effectiveness Model Framework for Nonalcoholic Steatohepatitis—Modeling Approach and Validation,Pharmacoeconomics,2023,"- Background: Nonalcoholic steatohepatitis (NASH) is a chronic liver disease associated with hepatic morbidity and mortality and extra-hepatic comorbidities. Published NASH cost-effectiveness models (CEMs) are heterogeneous and consistently omit comorbid conditions that frequently co-exist alongside NASH. We aimed to develop a de novo CEM framework that incorporates extra-hepatic disease states and outcomes alongside hepatic components to enable future estimation of the cost-effectiveness of NASH interventions. Methods: Patient-level simulation and cohort-level Markov models were implemented in the same framework. Model inputs included fibrosis progression; late-stage liver disease outcomes; comorbidity outcomes for cardiovascular disease, type 2 diabetes, and obesity; mortality; health-related quality of life; and direct medical costs. The prototype analysis assessed the cost-effectiveness of obeticholic acid versus standard of care from a US payer perspective over a lifetime horizon with costs and effects discounted at 3% per annum. However, the CEM was designed for easy adaptation to other countries, time horizons, and other considerations. Efficacy and adverse event parameters were obtained from the 18-month interim analysis of the REGENERATE trial. Outputs include total and incremental costs, total life years, and quality-adjusted life years. Results: In this model, total costs, total life years, and quality-adjusted life years were all higher with obeticholic acid compared with standard of care. Cross-validation of this model with the 2016 and 2020 Institute for Clinical and Economic Review models revealed marked differences, mainly driven by mortality inputs, transition probability estimates, and incorporation of the effect of treatment and comorbidities. Conclusion: This is the first CEM in NASH to incorporate the clinical consequences of several comorbidities. The flexible yet standardized framework permits estimation of the cost-effectiveness of NASH interventions in a variety of settings. The model currently includes several assumptions and will be further developed as more relevant data become available. Supplementary Information: The online version contains supplementary material available at 10.1007/s40273-023-01298-z.",cem
10760782,Abraham K,Benefits of a digital health technology for older nursing home residents. A de-novo cost-effectiveness model for digital health technologies to aid in the assessment of toileting and containment care needs,PLoS One,2024,"- The aim of this study was first, to introduce a comprehensive, de-novo health economic (HE) model incorporating the full range of activities involved in toileting and containment care (T&CC) for people with incontinence, capturing all the potential benefits and costs of existing and future Digital Health Technologies (DHT) aimed at improving continence care, for both residential care and home care. Second, to use this novel model to evaluate the cost-effectiveness of the DHT TENA SmartCare Identifi in the implementation of person-centred continence care (PCCC), compared with conventional continence care for Canadian nursing home residents. The de-novo HE model was designed to evaluate technologies across different care settings from the perspective of several stakeholders. Health states were based on six care need profiles with increasing need for toileting assistance, three care stages with varying degrees of toileting success, and five levels of skin health. The main outcomes were incremental costs and quality-adjusted life years. The effectiveness of the TENA SmartCare Identifi was based primarily on trial data combined with literature and expert opinion where necessary. Costs were reported in CAD 2020. After 2 years, 21% of residents in the DHT group received mainly toileting as their continence care strategy compared with 12% in the conventional care group. Conversely, with the DHT 15% of residents rely mainly on absorbent products for incontinence care, compared with 40% with conventional care. On average, residents lived for 2.34 years, during which the DHT resulted in a small gain in quality-adjusted life years of 0.015 and overall cost-savings of $1,467 per resident compared with conventional care. Most cost-savings were achieved through reduced costs for absorbent products. Since most, if not all, stakeholders gain from use of the DHT-assisted PCCC, widespread use in Canadian residential care facilities should be considered, and similar assessments for other countries encouraged.",cem
10948140,Paoli CJ,Effectiveness of Single-Tablet Combination Therapy in Improving Adherence and Persistence and the Relation to Clinical and Economic Outcomes,J Health Econ Outcomes Res,2024,"- Background: Single-tablet combination therapies (STCTs) combine multiple drugs into one formulation, making drug administration more convenient for patients. STCTs were developed to address concerns with treatment adherence and persistence, but the impact of STCT use is not fully understood across indications.Objectives: We conducted a systematic literature review (SLR) to examine STCT-associated outcomes across 4 evidence domains: clinical trials, real-world evidence (RWE), health-related quality of life (HRQoL) studies, and economic evaluations.Methods: Four SLRs were conducted across the aforementioned domains. Included studies compared STCTs as well as fixed-dose combinations ([FDCs] of non-tablet formulations) with the equivalent active compounds and doses in loose-dose combinations (LDCs). Original research articles were included; case reports, case series, and non-English-language sources were excluded. Databases searched included EconLit, Embase, and Ovid MEDLINE® ALL. Two independent reviewers assessed relevant studies and extracted data. Conflicts were resolved with a third reviewer or consensus-based discussion.Results: In all, 109 studies were identified; 27 studies were identified in more than one SLR. Treatment adherence was significantly higher in patients receiving FDCs vs LDCs in 12 of 13 RWE studies and 3 of 13 clinical trials. All 18 RWE studies reported higher persistence with FDCs. In RWE studies examining clinical outcomes (n = 17), 14 reported positive findings with FDCs, including a reduced need for add-on medication, blood pressure control, and improved hemoglobin A1C. HRQoL studies generally reported numerical improvements with STCTs or similarities between STCTs and LDCs. Economic outcomes favored STCT use. All 6 cost-effectiveness or cost-utility analyses found FDCs were less expensive and more efficacious than LDCs. Four budget impact models found that STCTs were associated with cost savings. Medical costs and healthcare resource use were generally lower with FDCs than with LDCs.Discussion: Evidence from RWE and economic studies strongly favored STCT use, while clinical trials and HRQoL studies primarily reported similarity between STCTs and LDCs. This may be due to clinical trial procedures aimed at maximizing adherence and HRQoL measures that are not designed to evaluate drug administration.Conclusions: Our findings highlight the value of STCTs for improving patient adherence, persistence, and clinical outcomes while also offering economic advantages.",slr_bim
11136791,Paulissen JH,Cost-effectiveness model of trastuzumab deruxtecan as second-line treatment in HER2-positive unresectable and/or metastatic breast cancer in Finland,Eur J Health Econ,2023,"- Objectives: Trastuzumab deruxtecan (T-DXd) was recently recommended by the Committee for Medicinal Products for Human Use as a treatment for adult patients with unresectable or metastatic HER2-positive breast cancer, who had received a prior anti-HER2-based regimen. In our study, we evaluated the cost-effectiveness of T-DXd compared with ado-trastuzumab emtansine (T-DM1) for this indication in Finland. Methods: A three-state partitioned survival analysis model was developed with a payer’s perspective. Time to event data from the DESTINY-Breast03 (DB-03) trial were extrapolated over a lifetime horizon either directly—for progression-free survival and time to treatment discontinuation—or using an alternative approach utilizing long-term T-DM1 survival data and DB-03 data—for overall survival. Discount rates of 3% were applied for costs and effects. Inputs were sourced from the Medicinal Products Database from Kela, Helsinki University Hospital service price list, Finnish Medicines Agency assessments, clinical experts, and DB-03. Sensitivity analyses were performed to characterize and demonstrate parameter uncertainties in the model. Results: Total quality-adjusted life years (QALYs) and life years (LYs) gained for T-DXd compared with T-DM1 were 1.93 and 2.56, respectively. Incremental costs for T-DXd compared with T-DM1 were €106,800, resulting in an ICER of €55,360 per QALY gained and an ICER of €41,775 per LY gained. One-way sensitivity analysis showed the hazard ratio of T-DXd vs T-DM1 for OS was the most influential parameter. The probabilistic sensitivity analysis showed similar results to the base case. Conclusions: T-DXd is cost-effective based on surrogate WTP thresholds of €72,000 and €139,000 per QALY. Supplementary Information: The online version contains supplementary material available at 10.1007/s10198-023-01617-3.",cem
