pmcid,first_author,title,source,year,abstract,section_choices,question,answer
12049324,Konta T,The health-economic impact of urine albumin-to-creatinine ratio testing for chronic kidney disease in Japanese non-diabetic patients,Clin Exp Nephrol,2024.0,"- BACKGROUND: The objective of this analysis was to estimate the clinical and economic impact of undertaking urine albumin-to-creatinine ratio (UACR) testing alongside regular estimated glomerular filtration rate testing for chronic kidney disease in non-diabetic Japanese patients versus no testing and versus urine protein-creatinine ratio (UPCR) testing. METHODS: An economic model, taking a Japanese healthcare perspective, estimated the health-economic impact of UACR testing over a lifetime time horizon. Outcomes reported were additional costs, clinical benefits measured, such as prevented dialyses and cardiovascular events, quality-adjusted life years gained, and incremental cost-effectiveness ratios. Health states were derived from risk levels reported in the Kidney Disease: Improving Global Outcomes heatmap. Results were derived assuming that after testing, treatment was available in the form of current standard-of-care or emerging chronic kidney disease therapies. RESULTS: Repeated UACR testing was found to be cost-effective compared to both no urine testing and UPCR testing, with incremental cost-effectiveness ratios of ¥1,953,958 and ¥1,966,433, respectively. CONCLUSION: Overall, this model demonstrates the health-economic value of undertaking UACR testing within the non-diabetic Japanese population.",Transition probabilities; Overview; Markov model; Materials and methods; Funding,"Which section does this sentence belong to: ""Background mortality rates from Japanese life expectancy tables [""",Transition probabilities
12049324,Konta T,The health-economic impact of urine albumin-to-creatinine ratio testing for chronic kidney disease in Japanese non-diabetic patients,Clin Exp Nephrol,2024.0,"- BACKGROUND: The objective of this analysis was to estimate the clinical and economic impact of undertaking urine albumin-to-creatinine ratio (UACR) testing alongside regular estimated glomerular filtration rate testing for chronic kidney disease in non-diabetic Japanese patients versus no testing and versus urine protein-creatinine ratio (UPCR) testing. METHODS: An economic model, taking a Japanese healthcare perspective, estimated the health-economic impact of UACR testing over a lifetime time horizon. Outcomes reported were additional costs, clinical benefits measured, such as prevented dialyses and cardiovascular events, quality-adjusted life years gained, and incremental cost-effectiveness ratios. Health states were derived from risk levels reported in the Kidney Disease: Improving Global Outcomes heatmap. Results were derived assuming that after testing, treatment was available in the form of current standard-of-care or emerging chronic kidney disease therapies. RESULTS: Repeated UACR testing was found to be cost-effective compared to both no urine testing and UPCR testing, with incremental cost-effectiveness ratios of ¥1,953,958 and ¥1,966,433, respectively. CONCLUSION: Overall, this model demonstrates the health-economic value of undertaking UACR testing within the non-diabetic Japanese population.",UACR testing versus UPCR testing; Informed consent; Key findings; Author contributions; Transition probabilities,"Which section does this sentence belong to: ""CKD, chronic kidney disease; ESKD, end-stage kidney disease""",Transition probabilities
12049324,Konta T,The health-economic impact of urine albumin-to-creatinine ratio testing for chronic kidney disease in Japanese non-diabetic patients,Clin Exp Nephrol,2024.0,"- BACKGROUND: The objective of this analysis was to estimate the clinical and economic impact of undertaking urine albumin-to-creatinine ratio (UACR) testing alongside regular estimated glomerular filtration rate testing for chronic kidney disease in non-diabetic Japanese patients versus no testing and versus urine protein-creatinine ratio (UPCR) testing. METHODS: An economic model, taking a Japanese healthcare perspective, estimated the health-economic impact of UACR testing over a lifetime time horizon. Outcomes reported were additional costs, clinical benefits measured, such as prevented dialyses and cardiovascular events, quality-adjusted life years gained, and incremental cost-effectiveness ratios. Health states were derived from risk levels reported in the Kidney Disease: Improving Global Outcomes heatmap. Results were derived assuming that after testing, treatment was available in the form of current standard-of-care or emerging chronic kidney disease therapies. RESULTS: Repeated UACR testing was found to be cost-effective compared to both no urine testing and UPCR testing, with incremental cost-effectiveness ratios of ¥1,953,958 and ¥1,966,433, respectively. CONCLUSION: Overall, this model demonstrates the health-economic value of undertaking UACR testing within the non-diabetic Japanese population.",Other parameters; Author contributions; Decision tree; Discussion; Materials and methods,"Which section does this sentence belong to: ""All authors contributed to the study conception and design. All authors were involved in material preparation, data collection and analysis. All authors were involved in the drafting of the manuscript. All authors read and approved the final manuscript.""",Author contributions
12049324,Konta T,The health-economic impact of urine albumin-to-creatinine ratio testing for chronic kidney disease in Japanese non-diabetic patients,Clin Exp Nephrol,2024.0,"- BACKGROUND: The objective of this analysis was to estimate the clinical and economic impact of undertaking urine albumin-to-creatinine ratio (UACR) testing alongside regular estimated glomerular filtration rate testing for chronic kidney disease in non-diabetic Japanese patients versus no testing and versus urine protein-creatinine ratio (UPCR) testing. METHODS: An economic model, taking a Japanese healthcare perspective, estimated the health-economic impact of UACR testing over a lifetime time horizon. Outcomes reported were additional costs, clinical benefits measured, such as prevented dialyses and cardiovascular events, quality-adjusted life years gained, and incremental cost-effectiveness ratios. Health states were derived from risk levels reported in the Kidney Disease: Improving Global Outcomes heatmap. Results were derived assuming that after testing, treatment was available in the form of current standard-of-care or emerging chronic kidney disease therapies. RESULTS: Repeated UACR testing was found to be cost-effective compared to both no urine testing and UPCR testing, with incremental cost-effectiveness ratios of ¥1,953,958 and ¥1,966,433, respectively. CONCLUSION: Overall, this model demonstrates the health-economic value of undertaking UACR testing within the non-diabetic Japanese population.",UPCR testing versus no urine testing; Decision tree; Materials and methods; Introduction; Keywords,"Which section does this sentence belong to: ""Globally, CKD management is a strong contributing factor to rising healthcare expenditures, with CKD contributing more than other high-burden diseases like type 2 diabetes and chronic obstructive pulmonary disease [""",Introduction
12049324,Konta T,The health-economic impact of urine albumin-to-creatinine ratio testing for chronic kidney disease in Japanese non-diabetic patients,Clin Exp Nephrol,2024.0,"- BACKGROUND: The objective of this analysis was to estimate the clinical and economic impact of undertaking urine albumin-to-creatinine ratio (UACR) testing alongside regular estimated glomerular filtration rate testing for chronic kidney disease in non-diabetic Japanese patients versus no testing and versus urine protein-creatinine ratio (UPCR) testing. METHODS: An economic model, taking a Japanese healthcare perspective, estimated the health-economic impact of UACR testing over a lifetime time horizon. Outcomes reported were additional costs, clinical benefits measured, such as prevented dialyses and cardiovascular events, quality-adjusted life years gained, and incremental cost-effectiveness ratios. Health states were derived from risk levels reported in the Kidney Disease: Improving Global Outcomes heatmap. Results were derived assuming that after testing, treatment was available in the form of current standard-of-care or emerging chronic kidney disease therapies. RESULTS: Repeated UACR testing was found to be cost-effective compared to both no urine testing and UPCR testing, with incremental cost-effectiveness ratios of ¥1,953,958 and ¥1,966,433, respectively. CONCLUSION: Overall, this model demonstrates the health-economic value of undertaking UACR testing within the non-diabetic Japanese population.",Decision tree; Contrasting upcoming treatment paradigms; Key findings; Transition probabilities; Introduction,"Which section does this sentence belong to: ""Transition probabilities for the second approach were generated by a subset of data from the Yamagata aggregate data (Table""",Transition probabilities
12049324,Konta T,The health-economic impact of urine albumin-to-creatinine ratio testing for chronic kidney disease in Japanese non-diabetic patients,Clin Exp Nephrol,2024.0,"- BACKGROUND: The objective of this analysis was to estimate the clinical and economic impact of undertaking urine albumin-to-creatinine ratio (UACR) testing alongside regular estimated glomerular filtration rate testing for chronic kidney disease in non-diabetic Japanese patients versus no testing and versus urine protein-creatinine ratio (UPCR) testing. METHODS: An economic model, taking a Japanese healthcare perspective, estimated the health-economic impact of UACR testing over a lifetime time horizon. Outcomes reported were additional costs, clinical benefits measured, such as prevented dialyses and cardiovascular events, quality-adjusted life years gained, and incremental cost-effectiveness ratios. Health states were derived from risk levels reported in the Kidney Disease: Improving Global Outcomes heatmap. Results were derived assuming that after testing, treatment was available in the form of current standard-of-care or emerging chronic kidney disease therapies. RESULTS: Repeated UACR testing was found to be cost-effective compared to both no urine testing and UPCR testing, with incremental cost-effectiveness ratios of ¥1,953,958 and ¥1,966,433, respectively. CONCLUSION: Overall, this model demonstrates the health-economic value of undertaking UACR testing within the non-diabetic Japanese population.",Other parameters; Keywords; Informed consent; UACR testing versus UPCR testing; Supplementary Information,"Which section does this sentence belong to: ""Supplementary file 1 (DOCX 90 kb)""",Supplementary Information
12049324,Konta T,The health-economic impact of urine albumin-to-creatinine ratio testing for chronic kidney disease in Japanese non-diabetic patients,Clin Exp Nephrol,2024.0,"- BACKGROUND: The objective of this analysis was to estimate the clinical and economic impact of undertaking urine albumin-to-creatinine ratio (UACR) testing alongside regular estimated glomerular filtration rate testing for chronic kidney disease in non-diabetic Japanese patients versus no testing and versus urine protein-creatinine ratio (UPCR) testing. METHODS: An economic model, taking a Japanese healthcare perspective, estimated the health-economic impact of UACR testing over a lifetime time horizon. Outcomes reported were additional costs, clinical benefits measured, such as prevented dialyses and cardiovascular events, quality-adjusted life years gained, and incremental cost-effectiveness ratios. Health states were derived from risk levels reported in the Kidney Disease: Improving Global Outcomes heatmap. Results were derived assuming that after testing, treatment was available in the form of current standard-of-care or emerging chronic kidney disease therapies. RESULTS: Repeated UACR testing was found to be cost-effective compared to both no urine testing and UPCR testing, with incremental cost-effectiveness ratios of ¥1,953,958 and ¥1,966,433, respectively. CONCLUSION: Overall, this model demonstrates the health-economic value of undertaking UACR testing within the non-diabetic Japanese population.",UPCR testing versus no urine testing; Discussion; Informed consent; Contrasting upcoming treatment paradigms; Conclusion,"Which section does this sentence belong to: ""CV, cardiovascular; ICER, incremental cost-effectiveness ratio; LYs, life years; QALYs, quality-adjusted life years; UPCR, urine protein-creatinine ratio""",UPCR testing versus no urine testing
12049324,Konta T,The health-economic impact of urine albumin-to-creatinine ratio testing for chronic kidney disease in Japanese non-diabetic patients,Clin Exp Nephrol,2024.0,"- BACKGROUND: The objective of this analysis was to estimate the clinical and economic impact of undertaking urine albumin-to-creatinine ratio (UACR) testing alongside regular estimated glomerular filtration rate testing for chronic kidney disease in non-diabetic Japanese patients versus no testing and versus urine protein-creatinine ratio (UPCR) testing. METHODS: An economic model, taking a Japanese healthcare perspective, estimated the health-economic impact of UACR testing over a lifetime time horizon. Outcomes reported were additional costs, clinical benefits measured, such as prevented dialyses and cardiovascular events, quality-adjusted life years gained, and incremental cost-effectiveness ratios. Health states were derived from risk levels reported in the Kidney Disease: Improving Global Outcomes heatmap. Results were derived assuming that after testing, treatment was available in the form of current standard-of-care or emerging chronic kidney disease therapies. RESULTS: Repeated UACR testing was found to be cost-effective compared to both no urine testing and UPCR testing, with incremental cost-effectiveness ratios of ¥1,953,958 and ¥1,966,433, respectively. CONCLUSION: Overall, this model demonstrates the health-economic value of undertaking UACR testing within the non-diabetic Japanese population.",Informed consent; Markov model; Limitations; Conflict of interest; Keywords,"Which section does this sentence belong to: ""Each cohort of patients progressed through the model at different rates, resulting in the UACR tested cohort having slower progression throughout the model. This was driven by the different numbers of patients eligible for treatment due to a test result indicating kidney damage. The base case analysis assumes patients diagnosed in KDIGO categories G1:G4, A2:A3 were eligible for treatment with angiotensin-converting enzyme inhibitors/angiotensin II receptor blockers (ACEi/ARBs). Whilst not explicitly included in the Japanese guidelines for CKD, expert consultations with research members from the Japan Kidney Association confirmed that ACEi/ARBs are actively used for CKD patients and are considered off-label standard of care in Japan. Therefore, ACEi/ARBs were included within the model to best represent the current clinical practice. It was assumed that patients with comparable diagnoses would receive the same treatment/management regardless of testing strategy.""",Markov model
12049324,Konta T,The health-economic impact of urine albumin-to-creatinine ratio testing for chronic kidney disease in Japanese non-diabetic patients,Clin Exp Nephrol,2024.0,"- BACKGROUND: The objective of this analysis was to estimate the clinical and economic impact of undertaking urine albumin-to-creatinine ratio (UACR) testing alongside regular estimated glomerular filtration rate testing for chronic kidney disease in non-diabetic Japanese patients versus no testing and versus urine protein-creatinine ratio (UPCR) testing. METHODS: An economic model, taking a Japanese healthcare perspective, estimated the health-economic impact of UACR testing over a lifetime time horizon. Outcomes reported were additional costs, clinical benefits measured, such as prevented dialyses and cardiovascular events, quality-adjusted life years gained, and incremental cost-effectiveness ratios. Health states were derived from risk levels reported in the Kidney Disease: Improving Global Outcomes heatmap. Results were derived assuming that after testing, treatment was available in the form of current standard-of-care or emerging chronic kidney disease therapies. RESULTS: Repeated UACR testing was found to be cost-effective compared to both no urine testing and UPCR testing, with incremental cost-effectiveness ratios of ¥1,953,958 and ¥1,966,433, respectively. CONCLUSION: Overall, this model demonstrates the health-economic value of undertaking UACR testing within the non-diabetic Japanese population.",Author contributions; Other parameters; Decision tree; Markov model; Introduction,"Which section does this sentence belong to: ""The rising prevalence and burden of CKD highlight the urgent need for more proactive measures for early detection and treatment to slow CKD progression. Early diagnosis allows patients to adjust their lifestyle with regular exercise, smoking cessation, and a low-protein diet while addressing underlying health risks like hypertension [""",Introduction
12049324,Konta T,The health-economic impact of urine albumin-to-creatinine ratio testing for chronic kidney disease in Japanese non-diabetic patients,Clin Exp Nephrol,2024.0,"- BACKGROUND: The objective of this analysis was to estimate the clinical and economic impact of undertaking urine albumin-to-creatinine ratio (UACR) testing alongside regular estimated glomerular filtration rate testing for chronic kidney disease in non-diabetic Japanese patients versus no testing and versus urine protein-creatinine ratio (UPCR) testing. METHODS: An economic model, taking a Japanese healthcare perspective, estimated the health-economic impact of UACR testing over a lifetime time horizon. Outcomes reported were additional costs, clinical benefits measured, such as prevented dialyses and cardiovascular events, quality-adjusted life years gained, and incremental cost-effectiveness ratios. Health states were derived from risk levels reported in the Kidney Disease: Improving Global Outcomes heatmap. Results were derived assuming that after testing, treatment was available in the form of current standard-of-care or emerging chronic kidney disease therapies. RESULTS: Repeated UACR testing was found to be cost-effective compared to both no urine testing and UPCR testing, with incremental cost-effectiveness ratios of ¥1,953,958 and ¥1,966,433, respectively. CONCLUSION: Overall, this model demonstrates the health-economic value of undertaking UACR testing within the non-diabetic Japanese population.",Key findings; Materials and methods; Conflict of interest; Funding; Limitations,"Which section does this sentence belong to: ""Benefits of UACR testing could extend towards other comorbidities that have not been considered within this analysis. High albuminuria levels are associated with a higher risk of cardiovascular disease (CVD) [""",Key findings
