pmcid,first_author,title,year,type,sentence,question,answer,abstract_hash
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,"- BACKGROUND:: Approximately 7.3 million people with type 1 or type 2 diabetes (T1D/T2D) are treated with insulin, placing them at higher risk of severe hypoglycemia (SH).","How many people with type 1 or type 2 diabetes are treated with insulin, placing them at higher risk of severe hypoglycemia? (pmcid=10373001)","Approximately 7.3 million people with type 1 or type 2 diabetes (T1D/T2D) are treated with insulin, placing them at higher risk of severe hypoglycemia.",
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,"SH requires assistance of another individual and often necessitates the prompt administration of intravenous glucose, injectable glucagon, or both.",What are some of the treatment options for severe hypoglycemia that require assistance from another individual (pmcid=10373001)?,"The treatment options for severe hypoglycemia that require assistance from another individual include the prompt administration of intravenous glucose, injectable glucagon, or both.",
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,"Untreated, SH can progress to unconsciousness, seizures, coma, or death.",What are the potential consequences of untreated severe hypoglycemia? (pmcid=10373001),"Untreated severe hypoglycemia can progress to unconsciousness, seizures, coma, or death.",
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,"Before 2018, all glucagon rescue treatments required reconstitution.",What was required for all glucagon rescue treatments before 2018 (pmcid=10373001)?,Reconstitution,
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,The complexity of reconstitution is often a barrier to successful administration during a severe hypoglycemic event.,What is often a barrier to successful administration during a severe hypoglycemic event? (pmcid: 10373001),The complexity of reconstitution,
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,Studies suggest successful administration of glucagon emergency kits range from 6%-56% of the time.,What is the range of successful administration of glucagon emergency kits as suggested by studies? (pmcid: 10373001),The range of successful administration of glucagon emergency kits as suggested by studies is 6%-56% of the time.,
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,Second-generation glucagon treatments and glucagon analogs do not require reconstitution and have caregiver administration success rates ranging from 94%-100%.,What are the caregiver administration success rates for second-generation glucagon treatments and glucagon analogs? (pmcid=10373001),Caregiver administration success rates for second-generation glucagon treatments and glucagon analogs range from 94%-100%.,
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,Dasiglucagon is a glucagon analog administered via autoinjector or prefilled syringe and has been shown to result in rapid hypoglycemia recovery.,How is dasiglucagon administered and what has it been shown to result in (pmcid=10373001)?,Dasiglucagon is administered via autoinjector or prefilled syringe and has been shown to result in rapid hypoglycemia recovery.,
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,"Moreover, the autoinjector can be administered successfully 94% of the time by trained caregivers.",Was the autoinjector successfully administered by trained caregivers 94% of the time (pmcid=10373001)?,Yes,
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,Previous evaluation of costs in budget impact models (BIMs) demonstrated the potential for second-generation glucagon treatments to reduce the cost of SH events (SHEs).,How did previous evaluation of costs in budget impact models demonstrate the potential for second-generation glucagon treatments to reduce the cost of severe hypoglycemia events (SHEs) (pmcid=10373001)?,Previous evaluation of costs in budget impact models demonstrated that second-generation glucagon treatments have the potential to reduce the cost of severe hypoglycemia events (SHEs).,
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,The current model expands on those findings with a treatment pathway and accompanying assumptions reflecting important aspects of real-world SHE treatment.,What aspects of real-world SHE treatment are reflected in the treatment pathway and assumptions in the current model (pmcid=10373001)?,The treatment pathway and assumptions in the current model reflect important aspects of real-world severe hypoglycemia (SHE) treatment.,
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,"OBJECTIVE:: To evaluate the economic impact of dasiglucagon compared with available glucagon treatments for SHE management, considering direct cost of treatment and health care resource utilization.",What was the objective of the study conducted by Hinahara J regarding dasiglucagon compared with available glucagon treatments for SHE management (pmcid=10373001)?,"The objective of the study conducted by Hinahara J regarding dasiglucagon compared with available glucagon treatments for SHE management was to evaluate the economic impact, considering the direct cost of treatment and health care resource utilization.",
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,METHODS:: A 1-year BIM with a hypothetical US commercial health plan of 1 million lives was developed with a target population of individuals with diabetes at risk of SHE.,What type of model was developed in this study (pmcid=10373001)?,A budget impact model (BIM),
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,"The treatment pathway model included initial and secondary treatment attempts, treatment administration success and failure, plasma glucose (PG) recovery within 15 minutes, emergency medical services, emergency department (ED) visits, and hospitalizations.",What did the treatment pathway model for severe hypoglycemia include (pmcid=10373001)?,"The treatment pathway model for severe hypoglycemia included initial and secondary treatment attempts, treatment administration success and failure, plasma glucose (PG) recovery within 15 minutes, emergency medical services, emergency department (ED) visits, and hospitalizations.",
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,A 1-way sensitivity analysis was conducted to assess the sensitivity of the model to changes in parameter values.,Was a 1-way sensitivity analysis conducted in the study (pmcid=10373001)?,Yes.,
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,"RESULTS:: In a 1 million-covered lives population, it was estimated that 12,006 SHEs would occur annually.",How many severe hypoglycemic events were estimated to occur annually in a 1 million-covered lives population (pmcid=10373001)?,"12,006",
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,The higher rate of initial treatment success and PG recovery within 15 minutes associated with dasiglucagon treatment resulted in lower total health care costs.,What resulted in lower total health care costs associated with dasiglucagon treatment? (pmcid: 10373001),The higher rate of initial treatment success and PG recovery within 15 minutes associated with dasiglucagon treatment resulted in lower total health care costs.,
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,"Total SHE treatment costs with dasiglucagon were estimated at $13.4 million, compared with $16.7 million for injectable native glucagon, $20.7 million for nasal glucagon, $35.3 million for reconstituted glucagon, and $43.8 million for untreated individuals.",What were the total SHE treatment costs estimated with dasiglucagon compared to other treatments? (pmcid=10373001),"Total SHE treatment costs with dasiglucagon were estimated at $13.4 million, compared with $16.7 million for injectable native glucagon, $20.7 million for nasal glucagon, $35.3 million for reconstituted glucagon, and $43.8 million for untreated individuals.",
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,"Compared with untreated people, the number needed to treat (NNT) with dasiglucagon was 6 individuals to avoid 1 hospitalization.",How many individuals need to be treated with dasiglucagon to avoid 1 hospitalization? (pmcid=10373001),6 individuals,
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,NNT for this same comparison was 59 for injectable native glucagon and 27 for nasal glucagon.,What were the NNT values for injectable native glucagon and nasal glucagon in the comparison mentioned? (pmcid=10373001),"The NNT values for injectable native glucagon and nasal glucagon in the comparison mentioned were 59 and 27, respectively.",
10373001,Hinahara J,Dasiglucagon demonstrates reduced costs in the treatment of severe hypoglycemia in a budget impact model,2022,bim,"CONCLUSIONS:: Treatment of SH with dasiglucagon decreased total direct medical costs by reducing health care resource utilization (emergency calls, emergency transports, ED visits, and hospitalizations) and accompanying costs associated with the treatment of SH.",How did treatment with dasiglucagon impact total direct medical costs in the treatment of severe hypoglycemia (pmcid=10373001)?,"Treatment of SH with dasiglucagon decreased total direct medical costs by reducing health care resource utilization (emergency calls, emergency transports, ED visits, and hospitalizations) and accompanying costs associated with the treatment of SH.",
10982321,Fortunato A,A budget impact model and a cost–utility analysis of reducer device (Neovasc) in patients with refractory angina,2024,bim,- Background: Refractory angina (RA) is a chronic condition characterized by the presence of debilitating angina symptoms due to established reversible ischemia in the presence of obstructive coronary artery disease (CAD).,What is refractory angina characterized by? (pmcid=10982321),Refractory angina is characterized by the presence of debilitating angina symptoms due to established reversible ischemia in the presence of obstructive coronary artery disease (CAD).,
10982321,Fortunato A,A budget impact model and a cost–utility analysis of reducer device (Neovasc) in patients with refractory angina,2024,bim,"Treatments for this condition have undergone major developments in recent decades; however, the treatment for RA remains a challenge for medicine.",What major developments have treatments for refractory angina undergone in recent decades? (pmcid=10982321),Treatments for refractory angina have undergone major developments in recent decades.,
